"TopicID","Topic"
"1","Equipment"
"2","CD-ROMs"
"3","Communications"
"5","Information Systems"
"6","Catalogs"
"7","Human Factors"
"8","Ergonomics Course"
"9","General Purpose"
"10","Human-Computer Interaction"
"12","Technical Aids"
"13","H/D Documentation"
"14","Disability"
"15","User Interfaces"
"16","CEC Programs"
"18","Occupational Therapy"
"19","Sociology"
"20","Sun Systems"
"21","Assistive Technology"
"22","Educational Technology"
"23","Computer Graphics"
"24","Knowledge-Based Systems"
"25","Robotics"
"26","Computer Science"
"27","IBM PC"
"28","Programming Language C"
"29","Expert Systems"
"30","Innovation"
"31","Object-Oriented Programming"
"33","Speech Recognition"
"34","Software Engineering"
"36","Neural Computing"
"37","TIDE COST"
"38","Natural Language"
"39","Microsoft Office"
"40","Computational Linguistics"
"41","Multimedia Systems"
"42","Artificial Intelligence"
"43","Directory"
"46","ESPRIT"
"47","Graphics Programming"
"48","RACE"
"49","Statistics"
"51","Internet/WEB Design"
"52","Apple PC"
"53","Logic Programming"
"54","Vocational Training"
"56","Software Reengineering"
"57","X-Windows"
"58","ERCIM"
"59","Software Development"
"60","Testing"
"61","Psychology"
"63","Virtual Reality"
"64","AutoCAD"
"66","AutoVision"
"68","Multimedia"
"70","Human Performance"
"71","Marketing"
"72","Rehabilitation Technology"
"73","TIDE"
"75","Databases"
"76","Dictionaries"
"77","Hypermedia"
"78","Hypertext"
"79","ESPRIT/HUFIT"
"80","Usability"
"81","Modeling"
"82","AIM"
"83","Communication Aids"
"85","Prolog"
"86","Systems Analysis"
"89","Networks"
"90","Information Technology"
"92","Lecture Notes in Computer Science"
"93","Borland C++"
"94","Paradox for Windows"
"95","Borland Visual"
"96","Turbo C"
"97","Paradox"
"98","Borland C"
"100","MS-Windows"
"101","Pattern Recognition"
"103","Ergonomics"
"104","Management"
"106","Visualization"
"107","Compilers"
"108","Economics"
"110","DESQview/X"
"112","H/W Documentation"
"113","Microcomputers"
"114","Research Evaluation"
"115","Data Structures"
"116","Telecommunications"
"117","PC Tools"
"119","BICEPS"
"121","TIDE/ACCESS"
"122","Signal Processing"
"123","DELTA"
"125","RISE"
"126","RACE/DRIVE/DELTA/AIM"
"127","DRIVE"
"128","MS-DOS"
"129","Corel Draw"
"131","Mouse"
"132","Sound Card"
"134","Business"
"137","Rehabilitation Engineering"
"138","UNIX Operating System"
"139","TIDE/GUIB"
"140","Health Care"
"141","Telematics"
"142","Cognitive Science"
"143","Windows Programming"
"146","Braille"
"147","Visual Languages"
"148","Visual Systems"
"150","Image Processing"
"152","Systems Design"
"153","Serpent System"
"155","Printers"
"157","ICAP Directory"
"158","Software Management"
"159","Systems Engineering"
"161","Mathematics"
"164","Authorware"
"165","Backup"
"166","Digital Systems"
"168","Modem"
"169","Microsoft Visual C"
"170","Microsoft Windows"
"171","Microsoft MASM"
"173","Microsoft Visual C++"
"174","Microsoft Visual Basic"
"175","Microsoft Windows NT"
"177","S/W Documentation"
"179","RTLink/Plus"
"181","Voice Processing"
"182","TIDE/COST"
"184","SAS Software"
"185","WorldToolKit for Windows"
"187","Speech Recognition Systems"
"189","XENIX"
"190","TIDE/HEART"
"191","WordPerfect"
"196","Programming Languages"
"197","Knowledge Representation"
"199","Focus Groups"
"201","Digital Libraries"
"203","Software Evaluation"
"207","Computer Supported Cooperative Work"
"208","Microprocessors"
"210","Electronic Commerce"
"213","Software Reuse"
"216","Internet"
"218","Audio-Visual"
"221","Speech Reading"
"226","Information Society"
"230","Software Quality Management"
"237","Quality Control"
"238","Standards"
"240","Dynamical Systems"
"249","Basic"
"250","Multimedia Programming"
"251","Work Groups"
"252","Scriptwriting"
"253","Metaphors"
"254","Groupware"
"255","Agents"
"257","Lecture Notes in Artificial Intelligence"
"258","Computer-Biographies"
"259","Geometry"
"261","UNIX Programming"
"262","PowerChute Plus"
"264","Norton Utilities"
"265","Grammatik 5"
"266","Autodesk 3D Studio"
"267","Cyberscpace Developer Kit"
"268","Turbo Assembler"
"269","Turbo Debugger"
"270","Turbo Profiler"
"271","Java"
"272","Internet Programming"
"273","Automated Reasoning"
"275","Business Re-engineering"
"276","Interactive Systems"
"277","Systems Development"
"278","Cryptography"
"280","Semiotics"
"281","Research Reports ESPRIT"
"282","Speech Technology"
"284","Document designing"
"286","Programming"
"287","Computer Visualisation"
"292","Computer Documentation"
"293","Algorithms"
"294","Computers and Civilisation"
"295","Juvenile Literature"
"296","Information Security"
"297","Graphic design"
"299","Typography"
"300","Art & Science"
"301","Ethical & Social Aspects"
"302","Information Theory"
"303","Data Processing"
"304","Law"
"305","Distance Learning"
"306","Sign Language"
"307","Computer Animation"
"308","Bioethics"
"309","Endophysics"
"310","Teaching and Learning"
"311","Computers and Children"
"312","Research Report"
"313","Communication and Technology"
"314","Desktop publishing"
"315","Business Presentations"
"316","Technology"
"317","Accessibility"
"318","Telemedicine"
"319","Health"
"320","Computational Geometry"
"321","Design"
"322","PowerPoint"
"323","Gerontechnology"
"324","Smart Homes"
"325","Video Telephony"
"326","Text telephony"
"327","Media"
"328","Information networks"
"329","Educational"
"330","Children's Learning"
"331","Interactive Multimedia"
"332","Art & Electronics"
"333","Video Techniques"
"334","Activity theory"
"335","WWW"
"336","Benchmarking"
"337","Teleworking"
"338","Mathematical models"
"339","Guidelines"
"340","Computer Networks"
"341","Graphical User Interfaces"
"342","Web Design"
"343","e-commerce"
"344","Animation"
"345","Instructional Systems"
"346","Decision Making"
"347","Computer-aided design"
"348","Task Analysis"
"349","Wearable Computers"
"350","Markup Languages"
"351","International Studies"
"352","Collaboration"
"353","Web "
"354","XML"
"355","SQL"
"356","Signs/Symbols"
"357","Computing Systems"
"358","Pictorial Symbols"
"359","Machine Learning"
"360","Empirical Evaluation"
"361","Adaptive Systems"
"362","Contracts"
"363","Universal Access"
"364","Industrial Engineering"
"365","Medical Informatics"
"366","Special Education"
"367","Game-Based learning"
"368","XSLT"
"369","Human Communication"
"370","Cybernetics"
"371","Presentation"
"372","Semantic Web"
"373","Image Education"
"374","Design for All"
"375","Software Design"
"376","Support Systems"
"377","ICT"
"378","Uniquitous Computing"
"379","Ubiquitous Computing"
"380","Numerical simulation"
"381","Human Engineering"
"382","System Design"
"383","Research"
"384","mobile communication"
"385","C++"
"386","C#"
"388","Inclusive design"
"389","cross-media publishing"
"390","service delivery"
"391","Socio-Ecocomic Issues"
"392","Information design"
"393","Environment"
"394","Assessment"
"395","Mobile Devices and Services"
"396","Web Servers"
"397","Networking"
"398","Employment"
"399","eGovernment"
"400","Social Inclusion"
"401","Culture"
"402","Social Exclusion"
"403","Visualisation"
"404","Reasoning"
"405","Disability and computers"
"406","eAccessibility"
"407","eInfrastructure"
"408","Interfaces"
"409","Optoelectronics"
"410","Circuits"
"411","eAdoption"
"412","Knowledge Economy"
"413","Feedback and control systems"
"414","Mental retardation"
"415","Workshops"
"416","Market Analysis"
"417","Video Games"
"418","Cost"
"419","New Technologies"
"420","Games"
"421","Visual disability"
"422","Ambient Intelligence"
"423","Mobility impairments"
"424","Security"
"425","programme design"
"426","impact assessment"
"427","transnational cooperation"
"428","portals"
"429","taxonomies"
"430","Graphics design"
"431","e-Inclusion"
"432","Internationalization"
"433","Management Information"
"434","Computer Work"
"435","Applications/Services"
"436","Multimodal Environments"
"437","Interaction Design"
"438","Online Communities"
"439","Social Computing"
"440","Human Modeling"
"441","Augmented Cognition"
"442","Engineering Psychology"
"443","INTUITION"
"444","Knowledge Capture"
"445","Pervasive Computing"
"446","Functionality"
"447","Software Visualization"
"448","Web accessibility"
"449","Χωροταξία - Περιβάλλον"
"450","wireless networks"
"451","peer-to-peer computing"
"452","Informaton & Communication"
"453","elderly"
"454","services"
"455","service engineering"
"456","Design Engineering"
"457","Human Interface"
"458","Information Management"
"459","Communications in Computer and Information Science"
"460","Υπολογιστική γεωμετρία"
"461","Θεωρία υπολογισμού"
"462","Μαθηματική Λογική"
"463","Augmented Communication"
"464","software"
"465","philosophy"
"466","resilient systems"
"467","Computer entertainment"
"468","business process management"
"469","Industry"
"470","Lecture Notes in Business Information Processing"
"471","Embedded Systems"
"472","eLearning"
"473","Universal Design"
"474","cross-cultural design"
"475","Ambient environments"
"476","Social Media"
"477","HCI International"
"478","Learning Technologies"
"479","haptic systems"
"480","Multisensors"
"481","Entertainment media"
"482","Augmented reality"
"483","writing"
"484","thesis"
"485","Springer Series on Cultural Computing"
"486","Music"
"487","Physiological computing"
"488","Semantic Models"
"489","Eye-tracking technologies"
"490","Intelligent User Interfaces"
"491","Semantic Acquisition Games (SAGs)"
"492","Metadata"
"493","Computation"
"494","Facebook"
"495","Springer Series on Touch and Haptic Systems"
"496","Haptics"
"497","Open Science"
"498","Entertainment"
"499","Hand Gesture Recognition"
"500","Simulation"
"501","Springer Briefs in Digital Spaces"
"502","Springer Briefs in Education"
"503","Springer Briefs in Electrical and Computer Engineering"
"504","Springer Briefs in Applied Sciences and Technology - Polimi Springer Briefs"
"505","Data Analysis"
"506","Twitter"
"507","Springer Briefs in Computer Science"
"508","Data Security"
"509","Springer Briefs in Cybersecurity"
"510","Evakuation"
"511","Safety"
"512","Risk Management"
"513","user engineering"
"514","Lecture Notes in Electrical Engineering"
"515","teenagers"
"516","Children"
"517","secularization"
"518","Art"
"519","smart learning"
"520","smart cities"
"521","tablet technology"
"522","User centred design"
"523","creativity"
"524","Automotive environments"
"525","Distributed systems"
"526","monitoring"
"527","springer Briefs in Human-Computer Interaction"
"528","Government"
"529","Springer Notes in Computer Science"
"530","User Expeience"
"532","Undergraduate topics in Computer Science"
"533","big data"
"534",""
"535","Questionnaire design"
"536","User Experience"
"537","Digital technologies"
"538","Museums"
"539","Transport"
"540",""
"541","virtual environments"
"542","Assistive Environments"
"543","Cybersecurity"
"544","Cognitive Ergonomics"
"545","well-being"
"546","aging"
"547","ethics"
"548","Sustainability"
"549","intelligent environments"
"550","Automation"
"551","e-services"
"552","Deep Learning"
"553","Cognitive Technologies"
"554","Text-to-Speech (TTS) "
"555","Teaching Technology"
"556","Information Science and Technology (IST)"
"557","extended reality"
"558","biometrics"
"559","arts"
"560","Metaverse"
"561","UX"
"562","artificial psychology"
"563","language models"
"564","autism"
"565","Conceptual Models"
"566","humanity"
"567","sketching"
"568","Technology Acceptance Model (TAM)"