Available,Category,CopiesNo,CoverType,FirstName1,FirstName2,FirstName3,ISBN,LastName1,LastName2,LastName3,MiddleName1,MiddleName2,MiddleName3,Origin,PhotocopiesNo,PublicationYear,Publisher,Shelf,Theme,Title,Topic1,Topic2,Topic3
1,book,1,paperback,alan,russell,,3540760350,dix,beale,,,,,cs,0,1996,springer,,remote cooperation: cscw issues for mobile and teleworkers  addresses this issue by looking at the technological and social background to the problem and presenting case studies of remote working and learning in practice,remote cooperation: cscw issues for mobile and teleworkers,cooperation,,
1,proceedings,1,hardcover,luc,,,3540590528,steels,,,,,,cs,0,1995,springer,,"proceedings of the nato advanced study institute on the biology and technology of intelligent autonomous agents, held in castel invano, trento, italy, march 1-12, 1993",the biology and technology of intelligent autonomous agents,intelligent agents,,
1,book,1,paperback,tom,,,0387183914,bosser,,,,,,cs,0,1987,springer-verlag,,"research reports, esprit, project 385, hufit, volume 1","learning in man-computer interaction, a review of the literature",human-computer interaction,,
1,book,1,hardcover,adelino,,,3540600019,santos,,,,,,cs,0,1995,springer,,"multimedia techniques enable the production of non-traditional documents containing enormous amounts of information. the production of such documents by a group, as opposed to an individual, is the main subject of this book",multimedia and groupware for editing,multimedia,groupware,
1,book,1,paperback,oscar,yi-tzuu,,0818619244,garcia,chien,,n.,,,cs,0,1992,ieee computer society press,,a collection of papers concerning the reaserch upon knowledge-based systems,knowledge-based systems: fundamentals and tools,knowledge-based systems,,
1,book,1,paperback,,,,0262610715,american association for artificial intelligence,,,,,,cs,0,1993,aaai press,,"proceedings of the eleventh national conference on artificial intelligence, july 11-15, 1993, washington. each year the national conference on artificial intelligence (ncai) is the primary large scale forum in the united states where the highest quality new research in artificial intelligence (ai) is presented and discussed.",proceedings of the eleventh national conference on artificial intelligence,artificial intelligence,,
1,book,1,paperback,jan van,,,3540601058,leeuwen,,,,,,cs,0,1995,springer,,computer science today presents a unique collection of expository papers on major topics that are representative for computers science today.,"computer science today, recent trends and developments",computer science,,
1,proceedings,1,paperback,bodo,,,3211828761,urban,,,,,,cs,0,1996,springer wien new york,,"proceedings of the eurographics workshop in rostock, federal republic of germany, may 28-30, 1996",multimedia '96,multimedia,,
1,proceedings,1,paperback,nabil,milton,yelena,3540614109,adam,halem,yesha,r.,,,cs,0,1996,springer,,"adl '95 forum, mclean, virginia, usa, may 15-17, 1995. selected papers.","digital libraries, research and technology advances",digital libraries,,
1,proceedings,1,paperback,marjan,,,3540760121,sarshar,,,,,,cs,0,1996,springer,,"proceedings of the international workshop on systematic reuse, liverpool, 8-9 january 1996",systematic reuse: issues in initiating and improving a reuse program,systematic reuse,,
1,proceedings,1,paperback,michael,jorg,milind,3540608052,wooldridge,muller,tambe,,p.,,cs,0,1996,springer,,"ijcai'95 workshop (atal) montreal, canada, august 19-20, 1995","intelligent agents ii, agent theories, architectures, and languages",intelligent agents,,
1,proceedings,1,paperback,stefan,beat,a min,3211827986,klein,schmid,tjoa,,,,cs,0,1996,springer wien new york,,"proceedings of the international conference in innsbruck, austria, 1996",information and communication technologies in tourism,information technologies,,
1,book,1,paperback,adam,yelena,,3540607382,nabil,yesha,,r.,,,cs,0,1995,springer,,"digital communication, edi standardization, electronic banking, digital cash, internet, cyberspace, multimedia services, structured documents, digital libraries, atm networks, intelligent networking, teleconferencing, privacy, workflow support","electronic commerce, current research issues and applications",electronic commerce,,
1,proceedings,1,paperback,m.,r.,r.,3540760695,sasse,cunningham,winder,a.,j.,l.,cs,0,1996,springer,,"the aim of the cnference and the group was to bring together researchers, designers and users os computer systems to discuss and exchange views on the quality of user interfaces",people and computers x! proceedings of hci '96,human-computer interaction,,
1,book,1,paperback,stefan,ellen,gabriele,3540609253,wermter,riloff,scheler,,,,cs,0,1996,springer,,"the purpose of this book is to present a collection of papers that represents a broad spectrum of current research in learning methods for natural language processing, and to advance the state of the art in language learning and artificial intelligence.","connectionist, statistical, and symbolic approaches to learning for natural language processing",language processing,,
1,proceedings,1,paperback,panos,john,yannis,3540612920,constantopoulos,mylopoulos,vassiliou,,,,cs,0,1996,springer,,"8th international conference, caise '96 heraklion, crete, greece, may 1996 proceedings",advanced information systems engineering,systems engineering,,
1,book,1,paperback,david,philippe,,3540199640,benyon,palanque,,,,,cs,0,1996,springer,,this book developed from an ifip workshop which brought together methods and architecture researchers in human computer interaction and software engineering,critical issues in user interface systems engineering,user interface,,
1,proceedings,1,hardcover,fabio,,,3540594809,paterno,,,,,,cs,0,1995,springer,,"1st eurographics workshop bocca di magra, italy, june 1994","interactive systems: design, specification, and verification",interactive systems,,
1,book,1,paperback,mike,thea,,3540760113,sharples,van der geest,,,,,cs,0,1996,springer,,"this volume examines the kind of knowledge that is needed to develop, use and evaluate computer-based writing environments","the new writing environment, writers at work in a world of technology",writing environment,,
1,proceedings,1,paperback,s.,f.,t.,3540199853,fraisse,garzotto,isakowitz,,,,cs,0,1996,springer,,"proceedings of the international workshop on hypermedia design  (iwhd'95) montpellier, france, 1-2 june 1995",hypermedia design,hypermedia,,
1,book,1,paperback,robert,,,0387946632,slade,,,,,,cs,0,1996,springer,,"how to avoid computer viruses , how to get rid of them , and how to get help",guide to computer viruses,virus,,
1,proceedings,1,hardcover,david,marcus,,3540612645,stork,hennecke,,g.,e.,,cs,0,1996,springer,,"this book is an outcome of the nato advanced studies institute (asi) workshop, ""speechreading by man and machine"", held  at the chateau de bonas from august 28 to september 8, 1995","speechreading by humans and machines, model systems, and applications",speechreading,,
1,proceedings,1,hardcover,v.,sushil,,3540587101,subrahmanian,jajodia,,s.,,,cs,0,1995,springer,,multimedia databse systems are a new generation of database systems that will provide a unified and interactive framework for users to request and integrate information stored in a variety of media via high-speed networks.,"multimedia database systems, issues and research directions",multimedia,database,
1,book,1,paperback,alan,,,3540593233,bundy,,,,,,cs,0,1996,springer,,"the purpose of ""artificial intelligence techniques: a comprehensive catalogue"" is to promote interaction between members of the ai community","artificial intelligence techniques, a comprehensive catalogue",artificial intelligence,,
1,proceedings,1,hardcover,j.,n.,,3540608559,dubois,gershon,,e.,,,cs,0,1996,springer-verlag,,"at the invitation of the french national committee of codata, the fourteenth international codata conference took place in chambery from 18-22 september, 1994",the information revolution: impact on science and technology,information revolution,,
1,book,1,paperback,ivan,,,0201142244,bratko,,,,,,cs,0,1986,addison-wesley publishing company,,"prolog is a programming language centred around a small set of basic mechanisms, including pattern matching, tree-based data structuring, and automatic backtracking",prolog programming for artificial intelligence,prolog,artificial intelligence,
1,book,1,paperback,donald,diane,,0748405437,day,kovacs,,l.,k.,,cs,0,1996,taylor & francis,,"this book is a far-ranging but focused treatment of the cognitive and behavioural issues in computer-mediated communication, knowledge representation, and computer-supported co-operative work","computers, communication and mental models",communication,mental models,
1,book,1,paperback,,,,293007325-x,the eu committee,,,,,,cs,0,1996/1997,the eu committee,,the development of the information society is of crucial importance to business. the eu information society guide spells out why and explains how the eu is seeking to meet the challenge of creating an information society in europe,eu information society guide,information society,,
1,book,1,paperback,kazuo,,,0387948074,tanaka,,,,,,cs,0,1996,springer,,fuzzy logic has become an important tool for a number of different applications ranging from the control of engineering systems to artificial intelligence,an introduction to fuzzy logic for practical applications,fuzzy logic,,
1,proceedings,1,hardcover,sergio,giorgio,,3540610804,bittanti,picci,,,,,cs,0,1996,springer,,"proceedings of the nato advanced study institute ""from identification to learning"", held in como, italy, august 22-september 2, 1994","identification, adaptation, learning: the science of learning models from data",learning models,,
1,proceedings,1,paperback,d.,h.,g.,3540610286,hutchison,christiansen,coulson,,,,cs,0,1996,springer,,"second international cost 237 workshop copenhagen, denmark, november 1995",teleservices and multimedia communications,teleservices,multimedia,
1,book,2,paperback,fernando,,,8481120510,gonzalez,,,,,,cs,0,1996,fundesco,,,"databases and information system for people with disability, cost 219 seminar",databases,disability,
1,οδηγός,1,paperback,,,,9282776514,ευρωπαϊκή επιτροπή,,,,,,cs,0,1996,ευρωπαϊκή επιτροπή,,παροχή ίσων ευκαιριών στα άτομα με ειδικές ανάγκες,"helios ii, ευρωπαϊκός οδηγός ορθής πρακτικής",disabled people,,
1,proceedings,1,paperback,,,,0818638400,ieee computer society,,,,,,cs,0,1993,ieee computer society press,,"proceedings of the the ninth conference on artificial intelligence for applications, orlando, florida, march 1-5, 1993",the ninth conference on artificial intelligence for applications,artificial intelligence,,
1,book,1,paperback,pankaj,mehdi,,0818671033,carg,jazayeri,,k.,,,cs,0,1996,ieee computer society press,,this book represent a new generation of software engineering environments in which the processes used to produce and maintain software products are explicitly modeled in the environments.,process-centered software engineering environments,software engineering,,
1,book,1,hardcover,l.,a.,s.,0818663529,miller,hurson,pakzad,l.,r.,h.,cs,0,1995,ieee computer society press,,"this book focuses on two issues. the first is an examination of the architectures of databse, text retrieval, and knowledge-based machines that exposes the reader to the experiences of past and present system designers. the second issue is how special-purpose hardware must address current database issues to improve their functionality",parallel architectures for data/knowledge-based systems,knowledge-based systems,,
1,book,0,paperback,erich,richard,ralph,0201633612,gamma,helm,johnson,,,,cs,1,1995,addison-wesley publishing company,,"this book assumes you are reasonably proficient in at least one object-oriented programming language, and you should have some experience in object-oriented design as well.","design patterns, elements of reusable object-oriented software",object-oriented software,,
1,book,1,hardcover,jan,david,jackie,187542364-x,steyaert,colombi,rafferty,,,,cs,0,1996,ashgate publishing company,,"the aims of human services and information technology: an international perspective are firstly to provide academics and practitioners engaged in the provision of human services with  a structured overview of how information technology (it) is shaping the wotk of their professions, and secondly to facilitate the exchange of information and ideas between countries about these important developments",human services and information technology: an international perspective,information technology,human services,
1,book,1,hardcover,j.,j.,,3540574131,encarnasao,foley,,l.,d.,,cs,0,1994,springer-verlag,,multimedia computing represents a logical next step by which computing technology is becoming ever more useful and ubiquitous in our everyday lives,multimedia system architectures and applications,multimedia,,
1,book,1,paperback,borko,milan,,0818670541,furht,milenkovic,,,,,cs,0,1995,ieee computer society press,,"multimedia as applied in computer systems, is generally understood to mean the intergration of digital audio and full motion video in addition to the more traditional data types, such as text, graphics, animation, and still images",a guide tour of multimedia systems and applications,multimedia,,
1,proceedings,1,paperback,claude,gilles,alan,3540613277,frasson,gauthier,lesgold,,,,cs,0,1996,springer,,"third international conference, its '96 montreal, canada, june 1996",intelligent tutoring systems,intelligent systems,,
1,proceedings,1,hardcover,thomas,,,3540590900,liao,,,t.,,,cs,0,1996,springer,,"this book contains the proceedings of a nato advanced research workshop held within the activities of the nato special programme on advanced educational technology, running from 1988 to 1993",advanced educational technology: research issues and future potential,educational technology,,
1,book,1,paperback,yuval,,,0387945393,fisher,,,,,,cs,0,1996,springer,,spinning the web brings together www reference material and examples of www usage to help you get the most from thie powerful new medium,spinning the web: a guide to serving information on the world wide web,web,,
1,book,1,paperback,richard,,,3540199284,ennals,,,,,,cs,0,1995,springer,,recent and well-publicised disasters have highlighted the fact that organisations of all kinds - from healthcare to aerospace - are critically dependant on information technology systems,executive guide to preventing information technology disasters,information technology,disasters,
1,book,1,paperback,john,lyn,,3540199845,connolly,pemberton,,h.,,,cs,0,1996,springer,,"the application of linguistics (the scientific study of human language) to cscw is an immensely rich area of study, yet until veru recently, it has remained largely unexplored.",linguistic concepts and methods in cscw,linguistic,,
1,proceedings,1,paperback,peter,piet,norberrt,3540612823,brusilovsky,kommers,streitz,,,,cs,0,1996,springer,,"first international conference, mhvr '94 moscow, russia, september 14-16, 1994","multimedia, hypermedia, and virtual reality: models, systems, and applications",multimedia,hypermedia,virtual reality
1,book,1,paperback,roy,,,0387944850,rada,,,,,,cs,0,1995,springer-verlag,,the subject of this book is the relationship between people and interactive media,interactive media,media,,
